RepRapFirmware height map file v2 generated at 2019-06-25 18:09, min error -0.418, max error 0.866, mean 0.215, deviation 0.329
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
25.00,195.00,0.00,195.00,-1.00,25.00,25.00,7,8
 -0.418, -0.272, -0.118,  0.024,  0.235,  0.350,  0.560
 -0.379, -0.233, -0.052,  0.126,  0.241,  0.416,  0.583
 -0.343, -0.170, -0.010,  0.141,  0.327,  0.460,  0.604
 -0.282, -0.123,  0.047,  0.199,  0.353,  0.494,  0.635
 -0.227, -0.058,  0.086,  0.227,  0.384,  0.526,  0.667
 -0.173, -0.031,  0.133,  0.288,  0.434,  0.578,  0.714
 -0.120,  0.021,  0.173,  0.335,  0.492,  0.628,  0.766
 -0.063,  0.076,  0.227,  0.390,  0.560,  0.724,  0.866
